word1,word2,human,
reserve,reel,1,NONE
gain,croak,1,NONE
lower,walk,0.83,NONE
walk,refuse,0.83,NONE
dip,teach,0.17,NONE
humiliate,comfort,0,NONE
hesitate,announce,0.5,NONE
pour,awake,0.33,NONE
hug,discuss,0.17,NONE
kill,splash,0.66,NONE
perspire,enter,0.33,NONE
drown,survive,0.83,NONE
kneel,flow,0.66,NONE
sprinkle,obtain,0.17,NONE
swear,foil,0.5,NONE
allow,blend,1.49,NONE
grill,leap,0.5,NONE
create,dive,0,NONE
damn,imitate,0.83,NONE
attempt,yawn,0.33,NONE
understand,burst,1.83,NONE
break,reply,0.83,NONE
look,heal,0.5,NONE
sing,float,0.66,NONE
shove,scribble,0.66,NONE
suppose,degrade,0.66,NONE
correct,acknowledge,2.82,NONE
determine,deny,0.66,NONE
forbid,drown,0.17,NONE
flee,aim,0.33,NONE
discover,pay,0.5,NONE
shake,collect,0.3,NONE
salute,perform,1.66,NONE
bound,pick,1,NONE
vomit,discover,0,NONE
worry,integrate,1.16,NONE
save,imitate,1.33,NONE
launch,deposit,2.49,NONE
bake,produce,5.48,NONE
release,triumph,1.99,NONE
enjoy,wait,0.5,NONE
regret,fold,0.33,NONE
integrate,drown,0.33,NONE
disallow,bend,0.83,NONE
shove,leap,1.06,NONE
lounge,reprimand,0.83,NONE
finish,bless,1.83,NONE
examine,reject,0.83,NONE
please,know,1.83,NONE
deteriorate,delay,0.66,NONE
stay,flee,1.16,NONE
complain,disown,0.66,NONE
judge,comprehend,2.49,NONE
portray,reap,0.17,NONE
separate,snatch,1.66,NONE
flow,explain,2.16,NONE
engage,supply,0.66,NONE
cruise,overflow,1.49,NONE
shut,vomit,0,NONE
promise,choose,1.49,NONE
scratch,repair,0.5,NONE
yearn,hike,0.66,NONE
hurt,salute,0,NONE
blame,travel,0,NONE
comprehend,remain,0.17,NONE
despise,taste,0.5,NONE
live,lend,0.83,NONE
freeze,embarrass,0.5,NONE
snooze,happen,0,NONE
slip,kiss,1.33,NONE
snuggle,knock,0.83,NONE
dislike,intoxicate,1.51,NONE
reap,recycle,0.91,NONE
stare,bother,1.99,NONE
repeat,slap,0.33,NONE
scribble,prick,0.5,NONE
belong,intoxicate,0.33,NONE
discourage,overflow,0.33,NONE
haul,stab,0.33,NONE
separate,teach,0.83,NONE
snatch,stop,0.5,NONE
inquire,renounce,1.16,NONE
agree,overflow,0.66,NONE
ride,smash,0.17,NONE
repress,search,0.83,NONE
mistreat,hold,1.16,NONE
connect,talk,3.65,NONE
purchase,wait,0.83,NONE
push,adjourn,1.33,NONE
sew,crave,0.5,NONE
develop,sue,1.33,NONE
speak,tote,0.33,NONE
supply,hold,2.16,NONE
hesitate,rebel,0.83,NONE
overwhelm,restore,0.33,NONE
mistreat,scramble,1.99,NONE
practice,debate,1.49,NONE
look,assault,0.66,NONE
doze,throw,0.15,NONE
mean,join,1,NONE
grasp,spray,1,NONE
weep,notify,0.33,NONE
calculate,concentrate,3.65,NONE
operate,entertain,1.33,NONE
unite,guess,0.17,NONE
update,pick,1.83,NONE
travel,perform,0.33,NONE
catch,frustrate,0.83,NONE
assault,enrage,1.33,NONE
deposit,prosecute,0.83,NONE
decide,remove,1.33,NONE
irritate,guess,0.5,NONE
integrate,wiggle,0.5,NONE
happen,hide,1.16,NONE
overcome,keep,1.49,NONE
evacuate,determine,0.83,NONE
attract,bite,0.5,NONE
forbid,pull,1.83,NONE
magnify,drip,0.33,NONE
comprehend,testify,1.06,NONE
return,ridicule,0.5,NONE
overflow,kiss,0.33,NONE
bite,ask,0.17,NONE
observe,vanish,0.5,NONE
review,agree,1.66,NONE
mix,learn,0.66,NONE
drink,realize,1.66,NONE
criticize,slice,1.66,NONE
hug,dismay,0.33,NONE
discover,count,1.16,NONE
have,own,7.55,SYNONYMS
own,possess,8.8,SYNONYMS
have,possess,8.63,HYPER/HYPONYMS
possess,decorate,0.66,NONE
register,verify,3.15,NONE
verify,certify,8.3,NONE
imitate,impersonate,8.47,HYPER/HYPONYMS
capture,imitate,0.83,NONE
invite,encourage,4.15,NONE
encourage,boost,7.14,SYNONYMS
promote,advance,6.97,SYNONYMS
invite,travel,1,NONE
pass,serve,3.49,HYPER/HYPONYMS
serve,sing,1.33,NONE
apply,use,6.64,SYNONYMS
exploit,use,7.14,HYPER/HYPONYMS
apply,exploit,0.66,HYPER/HYPONYMS
return,apply,1.49,NONE
avoid,invalidate,2.16,SYNONYMS
nullify,avoid,1.83,SYNONYMS
invalidate,nullify,7.3,SYNONYMS
avoid,demolish,1.83,NONE
engage,involve,8.3,HYPER/HYPONYMS
involve,include,8.13,HYPER/HYPONYMS
include,engage,6.14,NONE
involve,speak,3.32,NONE
spawn,pup,2.99,NONE
spawn,litter,2.99,NONE
pup,litter,3.65,NONE
spawn,exploit,0.33,NONE
overcome,exceed,4.65,HYPER/HYPONYMS
overcome,surpass,7.47,HYPER/HYPONYMS
surpass,outnumber,6.31,NONE
exceed,whisper,0.5,NONE
count,matter,4.15,SYNONYMS
count,drive,1.33,NONE
assume,adopt,4.32,SYNONYMS
adopt,wash,1.83,NONE
gamble,bet,9.13,HYPER/HYPONYMS
gamble,risk,8.3,COHYPONYMS
bet,risk,7.64,NONE
bet,hug,0.83,NONE
yield,submit,6.64,HYPER/HYPONYMS
submit,bow,4.48,SYNONYMS
yield,capitulate,5.81,HYPER/HYPONYMS
bow,erupt,1.16,NONE
incline,dispose,1.49,SYNONYMS
dispose,bias,0.5,NONE
bias,incline,3.65,NONE
dispose,build,0.17,NONE
tackle,handle,3.82,NONE
face,approach,5.64,HYPER/HYPONYMS
handle,approach,2.82,NONE
approach,promise,1.16,NONE
secure,insure,5.15,SYNONYMS
insure,ensure,1.83,SYNONYMS
ensure,secure,4.07,SYNONYMS
secure,survive,2.32,NONE
release,discharge,6.64,HYPER/HYPONYMS
release,acquit,5.98,NONE
discharge,free,5.98,SYNONYMS
discharge,roam,1.83,NONE
retire,retreat,4.48,SYNONYMS
retire,withdraw,6.81,SYNONYMS
withdraw,retreat,7.39,SYNONYMS
retire,fail,1.49,NONE
deal,cope,7.47,SYNONYMS
cope,manage,7.14,SYNONYMS
deal,manage,6.14,SYNONYMS
manage,slide,1.66,NONE
care,worry,6.31,SYNONYMS
care,mind,4.81,HYPER/HYPONYMS
mind,worry,4.15,HYPER/HYPONYMS
care,remain,1,NONE
bargain,settle,4.38,NONE
settle,concur,3.15,HYPER/HYPONYMS
bargain,concur,2.82,NONE
settle,testify,2.16,NONE
attempt,intend,3.32,NONE
intend,try,4.07,NONE
intend,remind,0.83,NONE
commit,dedicate,7.97,SYNONYMS
commit,devote,7.3,SYNONYMS
devote,dedicate,7.97,SYNONYMS
commit,explode,0,NONE
reduce,restrict,6.97,HYPER/HYPONYMS
restrict,limit,9.13,SYNONYMS
limit,reduce,6.14,HYPER/HYPONYMS
restrict,dance,1,NONE
work,participate,5.64,NONE
work,collaborate,4.98,HYPER/HYPONYMS
cooperate,collaborate,7.47,SYNONYMS
work,disappear,0.33,NONE
refrain,abstain,8.8,HYPER/HYPONYMS
abstain,forbear,5.48,HYPER/HYPONYMS
refrain,forbear,5.98,HYPER/HYPONYMS
abstain,fade,2.66,NONE
allow,approve,5.81,HYPER/HYPONYMS
permit,approve,6.97,HYPER/HYPONYMS
approve,change,1,NONE
control,enforce,5.64,NONE
control,impose,4.65,NONE
enforce,impose,6.64,SYNONYMS
impose,cheat,1.16,NONE
rebel,protest,7.64,HYPER/HYPONYMS
collaborate,conspire,4.23,NONE
conspire,protest,1.83,NONE
protest,release,1.16,NONE
